self_employed,sought_treatment,employer_benefits,employer_takes_seriously,fear_negative_consequences,work_interference,remote_work,gender,age,country,year,productivity_affected,has_mental_health_disorder,tech_role
No,Yes,No,No,Yes,Sometimes,Yes,Male,32.0,United States,2014,,,
No,No,Don't Know,Yes,No,Never,Yes,Male,28.0,Germany,2014,,,
No,No,Yes,Yes,No,Sometimes,Yes,Male,38.0,United States,2014,,,
No,No,Yes,Yes,No,Never,No,Male,23.0,United Kingdom,2014,,,
No,No,No,No,No,Never,No,Male,30.0,Canada,2014,,,
Yes,Yes,Yes,Yes,Maybe,Often,Yes,Female,27.0,United States,2014,,,
No,No,No,No,Yes,Never,No,Male,33.0,United States,2014,,,
No,No,Don't Know,No,No,,No,Male,31.0,United States,2014,,,
Yes,Yes,No,No,Maybe,Often,No,Male,39.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Yes,Rarely,Yes,Female,34.0,United States,2014,,,
No,Yes,Yes,No,Maybe,Sometimes,No,Female,29.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,,No,Male,32.0,United States,2014,,,
No,No,Yes,Yes,No,Never,No,Male,31.0,United States,2014,,,
No,Yes,No,No,No,Sometimes,No,Male,40.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,No,Male,34.0,United States,2014,,,
No,No,Yes,Don't Know,No,,Yes,Other,18.0,Russia,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,No,Female,25.0,Canada,2014,,,
No,No,Don't Know,No,No,Never,No,Male,29.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,Rarely,No,Male,24.0,United States,2014,,,
No,Yes,Don't Know,No,No,Sometimes,No,Male,31.0,Mexico,2014,,,
No,Yes,No,No,Maybe,Sometimes,No,Male,33.0,United States,2014,,,
No,Yes,No,Yes,No,Often,No,Male,30.0,United States,2014,,,
No,Yes,No,No,Yes,Sometimes,No,Female,26.0,Canada,2014,,,
No,No,Yes,Don't Know,Maybe,Never,No,Female,44.0,United States,2014,,,
